Model,Accuracy,F1 Macro,Precision Macro,Recall Macro
SVC (Base),0.8162595698140722,0.7958455038644869,0.7992034599947536,0.795350136931216
SVC (Best),0.8191760845789282,0.7991483472048483,0.8022641654622893,0.7986469642686723
